language,phrase,date,count,share,period,from_date,to_date,devices
Ada,ada tutorial,2018-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2018-08-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2018-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2018-10-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2018-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2018-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2019-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2019-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2019-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2019-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2019-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2019-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2019-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2019-08-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2019-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2019-10-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2019-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2019-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2020-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2020-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2020-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2020-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
